Gene stable ID	Gene name	Transcript stable ID	RefSeq mRNA predicted ID	Protein stable ID
ENSDARG00000042370	ptafr	ENSDART00000154829	XM_001342336	ENSDARP00000128308
ENSDARG00000097746	si:rp71-77l1.1	ENSDART00000155479	XM_009292631	ENSDARP00000129247
ENSDARG00000078991	nat8	ENSDART00000108694	XM_001342578	ENSDARP00000098162
ENSDARG00000078991	nat8	ENSDART00000108694	XM_021480762	ENSDARP00000098162
ENSDARG00000102845		ENSDART00000169521	XM_021470067	ENSDARP00000138408
ENSDARG00000093686	si:rp71-36a1.2	ENSDART00000163370	XM_003200972	ENSDARP00000132086
ENSDARG00000090836	si:ch211-191d2.2	ENSDART00000149108	XM_009294675	ENSDARP00000124764
ENSDARG00000090836	si:ch211-191d2.2	ENSDART00000149108	XM_009294676	ENSDARP00000124764
ENSDARG00000097503	si:ch73-288o11.5	ENSDART00000154123	XM_021467392	ENSDARP00000129422
ENSDARG00000097503	si:ch73-288o11.5	ENSDART00000154123	XM_003200337	ENSDARP00000129422
ENSDARG00000087979		ENSDART00000154280	XM_017351363	
ENSDARG00000097503	si:ch73-288o11.5	ENSDART00000156878	XM_021467393	ENSDARP00000127540
ENSDARG00000068100		ENSDART00000133348	XM_001343891	ENSDARP00000118244
ENSDARG00000058593	sri	ENSDART00000081477	XM_005157861	ENSDARP00000075918
ENSDARG00000088699	pdzd8	ENSDART00000122108	XM_684682	ENSDARP00000108510
ENSDARG00000079187	TBX19	ENSDART00000115394	XM_003198759	ENSDARP00000103376
ENSDARG00000093469	ZNF653	ENSDART00000171731	XM_002661114	ENSDARP00000140930
ENSDARG00000012016	hpgd	ENSDART00000018533	XM_021475540	ENSDARP00000015036
ENSDARG00000012016	hpgd	ENSDART00000018533	XM_009292732	ENSDARP00000015036
ENSDARG00000054162	nfatc4	ENSDART00000110781	XM_685091	ENSDARP00000104333
ENSDARG00000063341	czib	ENSDART00000092479	XM_021480474	ENSDARP00000086911
ENSDARG00000043673	si:dkey-174m14.3	ENSDART00000142337	XM_005170144	ENSDARP00000117634
ENSDARG00000038009		ENSDART00000151197	XM_021473977	
ENSDARG00000044875		ENSDART00000065956	XM_693000	ENSDARP00000065955
ENSDARG00000008788	camk1gb	ENSDART00000017902	XM_005174132	ENSDARP00000011264
ENSDARG00000008788	camk1gb	ENSDART00000017902	XM_021469766	ENSDARP00000011264
ENSDARG00000008788	camk1gb	ENSDART00000017902	XM_005174131	ENSDARP00000011264
ENSDARG00000022045	map1ab	ENSDART00000154778	XM_001337978	ENSDARP00000128209
ENSDARG00000022045	map1ab	ENSDART00000154778	XM_021473851	ENSDARP00000128209
ENSDARG00000013174		ENSDART00000151004	XM_021467978	ENSDARP00000126300
ENSDARG00000011743	pigo	ENSDART00000135044	XM_687353	ENSDARP00000118783
ENSDARG00000103484	pkdc	ENSDART00000166640	XM_001335250	ENSDARP00000136992
ENSDARG00000028259	aldh3a2a	ENSDART00000192324	XM_009291620	ENSDARP00000148724
ENSDARG00000009885	sult3st1	ENSDART00000132083	XM_682056	ENSDARP00000122253
ENSDARG00000022045	map1ab	ENSDART00000188706	XM_005163038	ENSDARP00000154882
ENSDARG00000028259	aldh3a2a	ENSDART00000182369	XM_017359216	ENSDARP00000152087
ENSDARG00000021899	b4galt7	ENSDART00000170614	XM_021481002	ENSDARP00000131716
ENSDARG00000096619		ENSDART00000152758	XM_021478146	ENSDARP00000127045
ENSDARG00000013251	hsf4	ENSDART00000181589	XM_021467641	ENSDARP00000150156
