N5.HOG0000000,Ictalurus_punctatus---rna-XM_053685317.1
N5.HOG0000001,Anguilla_anguilla---rna-XM_035390897.1
N5.HOG0000002,Xiphias_gladius---rna-XM_040121221.1
N5.HOG0000003,Synchiropus_splendidus---rna-XM_053865430.1
N5.HOG0000004,Danio_rerio---rna-XM_017355471.2
N5.HOG0000005,Prochilodus_magdalenae---PM_31964
N5.HOG0000006,Sphaeramia_orbicularis---rna-XM_030159136.1
N5.HOG0000007,Anabarilius_grahami---mrna.DPX16_12063
N5.HOG0000008,Acanthopagrus_latus---rna-XM_037079384.1
N5.HOG0000009,Carassius_gibelio---rna-XM_052609055.1
N5.HOG0000010,Onychostoma_macrolepis---rna-XM_058773805.1
N5.HOG0000011,Anabarilius_grahami---mrna.DPX16_15088
N5.HOG0000012,Danio_aesculapii---rna-XM_056455198.1
N5.HOG0000013,Electrophorus_voltai---E.voltai_03490
N5.HOG0000014,Engraulis_encrasicolus---rna-XM_063206502.1
N5.HOG0000015,Anabarilius_grahami---mrna.DPX16_18966
N5.HOG0000016,Aldrovandia_affinis---mrna.AAFF_T00395410
N5.HOG0000017,Anabarilius_grahami---mrna.DPX16_5006
N5.HOG0000018,Labrus_mixtus---rna-XM_061034683.1
N5.HOG0000019,Cirrhinus_molitorella---evm.model.Chr12.947
N5.HOG0000020,Clarias_gariepinus---rna-XM_053482367.1
N5.HOG0000021,Esox_lucius---rna-XM_010868704.4
N5.HOG0000022,Gadus_morhua---rna-XM_030354613.1
N5.HOG0000023,Scortum_barcoo---S.barcoo_23638
N5.HOG0000024,Sardina_pilchardus---rna-XM_062544008.1
N5.HOG0000025,Esox_lucius---rna-XM_034291109.1
N5.HOG0000026,Megalops_cyprinoides---rna-XM_036520595.1
N5.HOG0000027,Gadus_chalcogrammus---rna-XM_056584299.1
N5.HOG0000028,Gymnodraco_acuticeps---rna-XM_034235706.1
N5.HOG0000029,Salvelinus_fontinalis---rna-XM_055910300.1
N5.HOG0000030,Paramormyrops_kingsleyae---rna-XM_023802725.1
N5.HOG0000031,Engraulis_encrasicolus---rna-XM_063210526.1
N5.HOG0000032,Paramormyrops_kingsleyae---rna-XM_023807073.1
N5.HOG0000033,Oncorhynchus_mykiss---rna-XM_036959908.1
N5.HOG0000034,Channa_striata---evm.model.LG03.369
N5.HOG0000035,Astyanax_mexicanus---rna-XM_049473067.1
N5.HOG0000036,Sardina_pilchardus---rna-XM_062527524.1
N5.HOG0000037,Myripristis_murdjan---rna-XM_030047767.1
N5.HOG0000038,Chanos_chanos---rna-XM_030785530.1
N5.HOG0000039,Megalops_atlanticus---MATL_T00015080
N5.HOG0000040,Labeo_rohita---rna-XM_051095527.1
N5.HOG0000041,Borostomias_antarcticus---g16679.t1
N5.HOG0000042,Channa_striata---evm.model.LG04.929
N5.HOG0000043,Morone_saxatilis---rna-XM_035670393.1
N5.HOG0000044,Brienomyrus_brachyistius---rna-XM_048997283.1
N5.HOG0000045,Lucifuga_dentata---LDENT00255470_mrna
N5.HOG0000046,Aldrovandia_affinis---mrna.AAFF_T00429420
N5.HOG0000047,Oncorhynchus_kisutch---rna-XM_020480472.2
N5.HOG0000048,Engraulis_encrasicolus---rna-XM_063207787.1
N5.HOG0000049,Amphiprion_ocellaris---rna-XM_055018968.1
N5.HOG0000050,Rhinichthys_klamathensis_goyatoka---rna-XM_056257697.1
N5.HOG0000051,Paramormyrops_kingsleyae---rna-XM_023800119.1
N5.HOG0000052,Prochilodus_magdalenae---PM_30175
N5.HOG0000053,Alosa_alosa---rna-XM_048247727.1
N5.HOG0000054,Osmerus_eperlanus---rna-XM_062463099.1
N5.HOG0000055,Morone_saxatilis---rna-XM_035677382.1
N5.HOG0000056,Ammodytes_marinus---g5444.t1
N5.HOG0000057,Xiphophorus_hellerii---rna-XM_032552890.1
N5.HOG0000058,Carassius_auratus---rna-XM_026249600.1
N5.HOG0000059,Centroberyx_gerrardi---g10223.t2
N5.HOG0000060,Gadus_chalcogrammus---rna-XM_056589606.1
N5.HOG0000061,Carassius_carassius---rna-XM_059505711.1
N5.HOG0000062,Astyanax_mexicanus---rna-XM_007248356.4
N5.HOG0000063,Simochromis_diagramma---rna-XM_040040600.1
N5.HOG0000064,Pogonophryne_albipinna---S600010076-RA
N5.HOG0000065,Chelmon_rostratus---rna-XM_041942453.1
N5.HOG0000066,Labeo_rohita---rna-XM_051102814.1
N5.HOG0000067,Gadus_morhua---rna-XM_030372596.1
N5.HOG0000068,Clupea_harengus---rna-XM_031566246.2
N5.HOG0000069,Cirrhinus_molitorella---evm.model.Chr17.193
N5.HOG0000070,Brienomyrus_brachyistius---rna-XM_049022367.1
N5.HOG0000071,Boleophthalmus_pectinirostris---rna-XM_055159857.1
N5.HOG0000072,Megalops_atlanticus---MATL_T00253330
N5.HOG0000073,Sardina_pilchardus---rna-XM_062538325.1
N5.HOG0000074,Prochilodus_magdalenae---PM_12333
N5.HOG0000075,Brienomyrus_brachyistius---rna-XM_048998173.1
N5.HOG0000076,Simochromis_diagramma---rna-XM_040039425.1
N5.HOG0000077,Lucifuga_dentata---LDENT00008120_mrna
N5.HOG0000078,Dissostichus_mawsoni---DM00028739-RA
N5.HOG0000079,Osmerus_eperlanus---rna-XM_062447913.1
N5.HOG0000080,Aplochiton_taeniatus---g42844.t1
N5.HOG0000081,Aplochiton_taeniatus---g42141.t1
N5.HOG0000082,Neolamprologus_brichardi---rna-XM_035916512.1
N5.HOG0000083,Neoarius_graeffei---rna-XM_060928331.1
N5.HOG0000084,Esox_lucius---rna-XM_029122536.2
N5.HOG0000085,Brienomyrus_brachyistius---rna-XM_049000814.1
N5.HOG0000086,Muraenolepis_orangiensis---S400008912-RA
N5.HOG0000087,Gadus_chalcogrammus---rna-XM_056587937.1
N5.HOG0000088,Synchiropus_splendidus---rna-XM_053866183.1
N5.HOG0000089,Prochilodus_magdalenae---PM_04293
N5.HOG0000090,Gadus_macrocephalus---rna-XM_060048937.1
N5.HOG0000091,Pleuronectes_platessa---rna-XM_053426336.1
N5.HOG0000092,Prochilodus_magdalenae---PM_08656
N5.HOG0000093,Danio_rerio---rna-XM_021475467.1
N5.HOG0000094,Fundulus_heteroclitus---rna-XM_036130933.1
N5.HOG0000095,Oreochromis_aureus---rna-XM_039607038.1
N5.HOG0000096,Dallia_pectoralis---mrna.DPEC_T00311810
N5.HOG0000097,Hyperoplus_immaculatus---g17117.t1
N5.HOG0000098,Brienomyrus_brachyistius---rna-XM_049003315.1
N5.HOG0000099,Cololabis_saira---rna-XM_061728219.1
N5.HOG0000100,Seriola_dumerili---rna-XM_022760639.1
N5.HOG0000101,Mugil_cephalus---rna-XM_047579546.1
N5.HOG0000102,Conger_conger---rna-XM_061229831.1
N5.HOG0000103,Chanos_chanos---rna-XM_030767142.1
N5.HOG0000104,Gymnothorax_javanicus---GJAV_T00274120
N5.HOG0000105,Conger_conger---rna-XM_061260509.1
N5.HOG0000106,Brienomyrus_brachyistius---rna-XM_048997404.1
N5.HOG0000107,Albula_goreensis---AGOR_T00100910
N5.HOG0000108,Albula_goreensis---AGOR_T00089470
N5.HOG0000109,Myripristis_murdjan---rna-XM_030045361.1
N5.HOG0000110,Synaphobranchus_kaupii---mrna.SKAU_T00117150
N5.HOG0000111,Megalops_cyprinoides---rna-XM_036530678.1
N5.HOG0000112,Megalops_atlanticus---MATL_T00001410
N5.HOG0000113,Collichthys_lucidus---mrna_D9C73_003406
N5.HOG0000114,Astyanax_mexicanus---rna-XM_015605677.3
