Gene stable ID	Human gene stable ID	Human gene name
ENSDARG00000063344	ENSG00000183807	FAM162B
ENSDARG00000097685		
ENSDARG00000036008	ENSG00000130643	CALY
ENSDARG00000069301	ENSG00000144120	TMEM177
ENSDARG00000104901	ENSG00000198856	OSTC
ENSDARG00000031836	ENSG00000167987	VPS37C
ENSDARG00000103391	ENSG00000123570	RAB9B
ENSDARG00000030463	ENSG00000159713	TPPP3
ENSDARG00000070447	ENSG00000029364	SLC39A9
ENSDARG00000080018	ENSG00000089177	KIF16B
ENSDARG00000036109	ENSG00000173171	MTX1
ENSDARG00000029612	ENSG00000068394	GPKOW
ENSDARG00000075759	ENSG00000020577	SAMD4A
ENSDARG00000057635	ENSG00000119333	DYNC2I2
ENSDARG00000032737	ENSG00000125675	GRIA3
ENSDARG00000053517	ENSG00000165521	EML5
ENSDARG00000111826		
ENSDARG00000092715		
ENSDARG00000015793	ENSG00000157613	CREB3L1
ENSDARG00000044573	ENSG00000070831	CDC42
ENSDARG00000025206	ENSG00000143858	SYT2
ENSDARG00000042189		
ENSDARG00000076270	ENSG00000160323	ADAMTS13
ENSDARG00000045415		
ENSDARG00000087916	ENSG00000205090	TMEM240
ENSDARG00000023058	ENSG00000204060	FOXO6
ENSDARG00000100738	ENSG00000113594	LIFR
ENSDARG00000067711	ENSG00000138964	PARVG
ENSDARG00000091834		
ENSDARG00000068468	ENSG00000158486	DNAH3
ENSDARG00000101806		
ENSDARG00000078805	ENSG00000254470	AP5B1
ENSDARG00000058893	ENSG00000187736	NHEJ1
ENSDARG00000088881		
ENSDARG00000062376	ENSG00000172831	CES2
ENSDARG00000062376	ENSG00000198848	CES1
ENSDARG00000062376	ENSG00000172824	CES4A
ENSDARG00000062376	ENSG00000159398	CES5A
ENSDARG00000039490	ENSG00000174238	PITPNA
ENSDARG00000020986	ENSG00000142544	CTU1
ENSDARG00000098626		
ENSDARG00000089187		
ENSDARG00000003175		
ENSDARG00000074846		
ENSDARG00000026759		
ENSDARG00000033099	ENSG00000166813	KIF7
ENSDARG00000024184	ENSG00000141562	NARF
ENSDARG00000009341	ENSG00000197893	NRAP
ENSDARG00000100546		
ENSDARG00000090804	ENSG00000163328	GPR155
ENSDARG00000016977	ENSG00000143376	SNX27
ENSDARG00000058538	ENSG00000170017	ALCAM
ENSDARG00000102175	ENSG00000105697	HAMP
ENSDARG00000018153	ENSG00000185013	NT5C1B
ENSDARG00000054533	ENSG00000078061	ARAF
ENSDARG00000038154	ENSG00000165898	ISCA2
ENSDARG00000036420		
ENSDARG00000098726	ENSG00000141564	RPTOR
ENSDARG00000037652	ENSG00000146576	INTS15
ENSDARG00000027963	ENSG00000164076	CAMKV
ENSDARG00000097726		
ENSDARG00000011821	ENSG00000152952	PLOD2
ENSDARG00000035875	ENSG00000121900	TMEM54
ENSDARG00000057074	ENSG00000156313	RPGR
ENSDARG00000075181	ENSG00000142677	IL22RA1
ENSDARG00000075181	ENSG00000110324	IL10RA
ENSDARG00000075181	ENSG00000159110	IFNAR2
ENSDARG00000075181	ENSG00000027697	IFNGR1
ENSDARG00000077950	ENSG00000136827	TOR1A
ENSDARG00000077950	ENSG00000136816	TOR1B
ENSDARG00000079355	ENSG00000185070	FLRT2
ENSDARG00000044251	ENSG00000138670	RASGEF1B
ENSDARG00000003144	ENSG00000176894	PXMP2
ENSDARG00000016968	ENSG00000119777	TMEM214
ENSDARG00000090063	ENSG00000103089	FA2H
ENSDARG00000033789	ENSG00000099795	NDUFB7
ENSDARG00000017522	ENSG00000060069	CTDP1
ENSDARG00000077860	ENSG00000131503	ANKHD1
ENSDARG00000052097		
ENSDARG00000045015	ENSG00000111012	CYP27B1
ENSDARG00000101490	ENSG00000116871	MAP7D1
ENSDARG00000008100	ENSG00000130876	SLC7A10
ENSDARG00000041340	ENSG00000111639	MRPL51
ENSDARG00000087757		
ENSDARG00000045873	ENSG00000166225	FRS2
ENSDARG00000088072	ENSG00000154914	USP43
ENSDARG00000070874		
ENSDARG00000075339		
ENSDARG00000045641	ENSG00000140455	USP3
ENSDARG00000103025	ENSG00000112972	HMGCS1
ENSDARG00000061439	ENSG00000135220	UGT2A3
ENSDARG00000061439	ENSG00000167165	UGT1A6
ENSDARG00000061439	ENSG00000241119	UGT1A9
ENSDARG00000061439	ENSG00000242366	UGT1A8
ENSDARG00000061439	ENSG00000242515	UGT1A10
ENSDARG00000061439	ENSG00000244122	UGT1A7
ENSDARG00000061439	ENSG00000197888	UGT2B17
ENSDARG00000061439	ENSG00000196620	UGT2B15
ENSDARG00000061439	ENSG00000145626	UGT3A1
ENSDARG00000061439	ENSG00000288702	UGT1A3
ENSDARG00000061439	ENSG00000288705	UGT1A5
ENSDARG00000061439	ENSG00000244474	UGT1A4
ENSDARG00000061439	ENSG00000109181	UGT2B10
ENSDARG00000061439	ENSG00000135226	UGT2B28
ENSDARG00000061439	ENSG00000213759	UGT2B11
ENSDARG00000061439	ENSG00000271271	UGT2A2
ENSDARG00000061439	ENSG00000173610	UGT2A1
ENSDARG00000061439	ENSG00000171234	UGT2B7
ENSDARG00000061439	ENSG00000156096	UGT2B4
ENSDARG00000052520	ENSG00000164023	SGMS2
ENSDARG00000018542	ENSG00000187664	HAPLN4
ENSDARG00000074253	ENSG00000177468	OLIG3
ENSDARG00000078768		
ENSDARG00000100858	ENSG00000154997	SEPTIN14
ENSDARG00000062357	ENSG00000183662	TAFA1
ENSDARG00000019135	ENSG00000132623	ANKEF1
ENSDARG00000068711	ENSG00000243646	IL10RB
ENSDARG00000043002	ENSG00000182853	VMO1
ENSDARG00000090854	ENSG00000155858	LSM11
ENSDARG00000056683	ENSG00000164885	CDK5
ENSDARG00000012446	ENSG00000130589	HELZ2
ENSDARG00000078567	ENSG00000154359	LONRF1
ENSDARG00000021444	ENSG00000180644	PRF1
ENSDARG00000029263	ENSG00000120093	HOXB3
ENSDARG00000030472	ENSG00000170190	SLC16A5
ENSDARG00000042515	ENSG00000166073	GPR176
ENSDARG00000042018	ENSG00000115641	FHL2
ENSDARG00000036943	ENSG00000143457	GOLPH3L
ENSDARG00000015476	ENSG00000103599	IQCH
ENSDARG00000089954	ENSG00000180113	TDRD6
ENSDARG00000002355	ENSG00000197417	SHPK
ENSDARG00000069537		
ENSDARG00000044457	ENSG00000162676	GFI1
ENSDARG00000087798	ENSG00000101327	PDYN
ENSDARG00000101106		
ENSDARG00000093521	ENSG00000179913	B3GNT3
ENSDARG00000045443	ENSG00000144891	AGTR1
ENSDARG00000058958		
ENSDARG00000019293	ENSG00000198176	TFDP1
ENSDARG00000078167		
ENSDARG00000115890		
ENSDARG00000101085	ENSG00000008324	SS18L2
ENSDARG00000007250	ENSG00000053501	USE1
